Group	Cell Type	Strain	Sex	Stimulus 1	Time 1
BMDM_Bl6_LPS_0000___Female	BMDM	Bl6	Female	LPS	0000
BMDM_Bl6_LPS_0020___Female	BMDM	Bl6	Female	LPS	0020
BMDM_Bl6_LPS_0040___Female	BMDM	Bl6	Female	LPS	0040
BMDM_Bl6_LPS_0060___Female	BMDM	Bl6	Female	LPS	0060
BMDM_Bl6_LPS_0080___Female	BMDM	Bl6	Female	LPS	0080
BMDM_Bl6_LPS_0120___Female	BMDM	Bl6	Female	LPS	0120
BMDM_Bl6_LPS_0240___Female	BMDM	Bl6	Female	LPS	0240
BMDM_Bl6_LPS_0360___Female	BMDM	Bl6	Female	LPS	0360
BMDM_Bl6_LPS_0480___Female	BMDM	Bl6	Female	LPS	0480
BMDM_Bl6_LPS_0720___Female	BMDM	Bl6	Female	LPS	0720
BMDM_Bl6_LPS_1080___Female	BMDM	Bl6	Female	LPS	1080
BMDM_Bl6_LPS_1440___Female	BMDM	Bl6	Female	LPS	1440
